#          alpha         energy    error
0.0000000000e+00 -6.0000000e+00 0.00e+00
2.6315789474e-01 -6.0774177e+00 7.26e-07
5.2631578947e-01 -6.1567657e+00 9.86e-07
7.8947368421e-01 -6.2383277e+00 1.75e-06
1.0526315789e+00 -6.3224727e+00 1.35e-06
1.3157894737e+00 -6.4098072e+00 2.49e-06
1.5789473684e+00 -6.5011503e+00 1.09e-05
1.8421052632e+00 -6.5987311e+00 2.18e-05
2.1052631579e+00 -6.8428478e+00 4.53e-04
2.3684210526e+00 -7.5630622e+00 4.35e-04
2.6315789474e+00 -8.3009171e+00 5.11e-04
2.8947368421e+00 -9.0496429e+00 5.23e-04
3.1578947368e+00 -9.8061099e+00 6.27e-04
3.4210526316e+00 -1.0568365e+01 3.32e-04
3.6842105263e+00 -1.1334657e+01 5.38e-04
3.9473684211e+00 -1.2104523e+01 4.63e-04
4.2105263158e+00 -1.2876682e+01 6.39e-04
4.4736842105e+00 -1.3651230e+01 6.04e-04
4.7368421053e+00 -1.4427925e+01 9.76e-04
5.0000000000e+00 -1.5204780e+01 6.64e-04
