#          alpha         energy    error
0.0000000000e+00 -2.0000000e+00 0.00e+00
2.6315789474e-01 -2.0423283e+00 1.37e-07
5.2631578947e-01 -2.0875049e+00 6.74e-07
7.8947368421e-01 -2.1363429e+00 6.94e-07
1.0526315789e+00 -2.1901330e+00 1.20e-06
1.3157894737e+00 -2.2512431e+00 2.76e-06
1.5789473684e+00 -2.3250299e+00 8.26e-06
1.8421052632e+00 -2.4335492e+00 7.37e-05
2.1052631579e+00 -2.6101047e+00 1.85e-04
2.3684210526e+00 -2.8123521e+00 3.15e-04
2.6315789474e+00 -3.0277854e+00 4.84e-04
2.8947368421e+00 -3.2527491e+00 1.08e-03
3.1578947368e+00 -3.4838295e+00 9.85e-04
3.4210526316e+00 -3.7211608e+00 1.16e-03
3.6842105263e+00 -3.9631569e+00 1.44e-03
3.9473684211e+00 -4.2063450e+00 1.02e-03
4.2105263158e+00 -4.4533014e+00 2.13e-03
4.4736842105e+00 -4.7024131e+00 1.11e-03
4.7368421053e+00 -4.9505515e+00 1.47e-03
5.0000000000e+00 -5.2029844e+00 2.03e-03
