#          alpha         energy    error
0.0000000000e+00 -2.0000000e+00 0.00e+00
2.6315789474e-01 -2.0891282e+00 3.78e-07
5.2631578947e-01 -2.1813218e+00 7.13e-07
7.8947368421e-01 -2.2770317e+00 8.55e-07
1.0526315789e+00 -2.3768515e+00 1.67e-06
1.3157894737e+00 -2.4816196e+00 2.17e-06
1.5789473684e+00 -2.5924562e+00 7.66e-06
1.8421052632e+00 -2.7111268e+00 1.24e-05
2.1052631579e+00 -2.8402425e+00 1.61e-05
2.3684210526e+00 -2.9836987e+00 1.64e-05
2.6315789474e+00 -3.1462399e+00 3.35e-05
2.8947368421e+00 -3.3309903e+00 5.91e-05
3.1578947368e+00 -3.5364787e+00 5.63e-05
3.4210526316e+00 -3.7574646e+00 4.99e-05
3.6842105263e+00 -3.9887067e+00 6.25e-05
3.9473684211e+00 -4.2266163e+00 5.45e-05
4.2105263158e+00 -4.4691011e+00 7.25e-05
4.4736842105e+00 -4.7149003e+00 7.31e-05
4.7368421053e+00 -4.9630591e+00 7.57e-05
5.0000000000e+00 -5.2131932e+00 9.10e-05
