#          alpha         energy    error
0.0000000000e+00 -6.0000000e+00 0.00e+00
2.6315789474e-01 -6.1366554e+00 8.20e-07
5.2631578947e-01 -6.2777919e+00 2.20e-06
7.8947368421e-01 -6.4242289e+00 2.29e-06
1.0526315789e+00 -6.5771511e+00 5.10e-06
1.3157894737e+00 -6.7382623e+00 3.53e-06
1.5789473684e+00 -6.9107354e+00 1.74e-05
1.8421052632e+00 -7.1011892e+00 1.42e-05
2.1052631579e+00 -7.3304423e+00 3.86e-05
2.3684210526e+00 -7.7034440e+00 7.99e-05
2.6315789474e+00 -8.3428850e+00 1.59e-04
2.8947368421e+00 -9.0709595e+00 1.67e-04
3.1578947368e+00 -9.8200007e+00 1.70e-04
3.4210526316e+00 -1.0578700e+01 2.42e-04
3.6842105263e+00 -1.1342858e+01 2.00e-04
3.9473684211e+00 -1.2111408e+01 2.33e-04
4.2105263158e+00 -1.2882466e+01 3.41e-04
4.4736842105e+00 -1.3656192e+01 3.63e-04
4.7368421053e+00 -1.4431728e+01 3.32e-04
5.0000000000e+00 -1.5208861e+01 3.97e-04
