#          alpha         energy    error
0.0000000000e+00 -6.0000000e+00 0.00e+00
2.6315789474e-01 -6.0179690e+00 1.35e-07
5.2631578947e-01 -6.0360925e+00 2.83e-07
7.8947368421e-01 -6.0543750e+00 3.37e-07
1.0526315789e+00 -6.0728353e+00 1.84e-06
1.3157894737e+00 -6.0914690e+00 1.47e-06
1.5789473684e+00 -6.1102913e+00 1.67e-06
1.8421052632e+00 -6.1293203e+00 2.98e-06
2.1052631579e+00 -6.1485678e+00 2.39e-06
2.3684210526e+00 -6.1680471e+00 3.91e-06
2.6315789474e+00 -6.8730943e+00 4.37e-01
2.8947368421e+00 -8.6771643e+00 3.34e-01
3.1578947368e+00 -9.6794659e+00 1.06e-01
3.4210526316e+00 -1.0558886e+01 2.08e-02
3.6842105263e+00 -1.1331594e+01 1.81e-02
3.9473684211e+00 -1.2111900e+01 1.35e-02
4.2105263158e+00 -1.2866418e+01 1.50e-02
4.4736842105e+00 -1.3645939e+01 1.08e-02
4.7368421053e+00 -1.4425023e+01 1.84e-02
5.0000000000e+00 -1.5204569e+01 1.30e-02
