#          alpha         energy    error
0.0000000000e+00 -4.0000000e+00 0.00e+00
2.6315789474e-01 -4.0241706e+00 2.22e-07
5.2631578947e-01 -4.0488959e+00 2.10e-07
7.8947368421e-01 -4.0742471e+00 9.72e-07
1.0526315789e+00 -4.1003127e+00 9.73e-07
1.3157894737e+00 -4.1272118e+00 1.07e-06
1.5789473684e+00 -4.1551149e+00 2.37e-06
1.8421052632e+00 -4.1843011e+00 4.54e-06
2.1052631579e+00 -4.7136455e+00 5.70e-03
2.3684210526e+00 -5.1793350e+00 3.25e-03
2.6315789474e+00 -5.6578618e+00 7.02e-03
2.8947368421e+00 -6.1500884e+00 5.19e-03
3.1578947368e+00 -6.6497154e+00 8.25e-03
3.4210526316e+00 -7.1352350e+00 8.42e-03
3.6842105263e+00 -7.6472517e+00 5.12e-03
3.9473684211e+00 -8.1538278e+00 6.43e-03
4.2105263158e+00 -8.6667419e+00 6.04e-03
4.4736842105e+00 -9.1757154e+00 7.83e-03
4.7368421053e+00 -9.6870443e+00 7.09e-03
5.0000000000e+00 -1.0201749e+01 7.14e-03
