#          alpha         energy    error
0.0000000000e+00 -2.0000000e+00 0.00e+00
2.6315789474e-01 -2.1191070e+00 5.49e-07
5.2631578947e-01 -2.2412377e+00 5.21e-07
7.8947368421e-01 -2.3666841e+00 1.68e-06
1.0526315789e+00 -2.4958287e+00 2.31e-06
1.3157894737e+00 -2.6290997e+00 3.24e-06
1.5789473684e+00 -2.7669943e+00 1.06e-05
1.8421052632e+00 -2.9101389e+00 1.24e-05
2.1052631579e+00 -3.0592468e+00 1.07e-05
2.3684210526e+00 -3.2151324e+00 1.72e-05
2.6315789474e+00 -3.3786953e+00 1.87e-05
2.8947368421e+00 -3.5508520e+00 1.80e-05
3.1578947368e+00 -3.7324075e+00 1.87e-05
3.4210526316e+00 -3.9238699e+00 2.39e-05
3.6842105263e+00 -4.1253510e+00 2.84e-05
3.9473684211e+00 -4.3364312e+00 2.36e-05
4.2105263158e+00 -4.5562111e+00 2.95e-05
4.4736842105e+00 -4.7835880e+00 3.68e-05
4.7368421053e+00 -5.0172495e+00 4.60e-05
5.0000000000e+00 -5.2559685e+00 5.77e-05
