α|N|E(ħω₀)	1	2	3	4	5	6
0.1	-0.10011032315063167	-0.10012648247767308	-0.10012661554176214	-0.1001266275400679	-0.10012662899519306	-0.10012662921233753
0.19999999999999965	-0.20047143225230524	-0.20050857091248386	-0.2005091053413468	-0.2005091535083694	-0.20050915934806168	-0.20050916021961412
0.3000000000000006	-0.30108730678996143	-0.301150315551718	-0.30115152292672154	-0.3011516316959332	-0.30115164487876533	-0.30115164684583257
0.40000000000000024	-0.4019620477787059	-0.40205588911798695	-0.40205804432829895	-0.40205823839922905	-0.40205826191326743	-0.40205826542102086
0.4999999999999999	-0.5030998832298635	-0.5032295922431743	-0.503232973509739	-0.5032332778508971	-0.5032333147142259	-0.5032333202119394
0.5999999999999995	-0.6045051739386627	-0.6046758592169506	-0.6046807481129768	-0.6046811879646423	-0.6046812412255933	-0.6046812491665238
0.7000000000000005	-0.7061824196166464	-0.7063992640721528	-0.7064059455394569	-0.7064065464163023	-0.7064066191539327	-0.7064066299958653
0.8000000000000002	-0.8081362653938662	-0.8084045270309514	-0.808413289391611	-0.8084140770851853	-0.8084141724096867	-0.8084141866145678
0.8999999999999998	-0.9103715087180178	-0.910696521337885	-0.9107076563005088	-0.9107086568814449	-0.9107087779345815	-0.9107087959685587
0.9999999999999994	-1.0128931066799791	-1.013280280507824	-1.0132940831676744	-1.0132953229877328	-1.0132954729430899	-1.0132954952766617
1.1000000000000005	-1.11570618379775	-1.1161610060196054	-1.1161777748516075	-1.1161792805453379	-1.1161794626087533	-1.1161794897170134
1.2000000000000002	-1.2188160402936439	-1.2193440754879854	-1.2193641123318748	-1.2193659108180595	-1.2193661282280934	-1.2193661605905666
1.2999999999999998	-1.3222281609023347	-1.3228350513504241	-1.3228586613869722	-1.3228607798692655	-1.3228610359167998	-1.3228610739979643
1.3999999999999995	-1.4259482242511934	-1.426639690107287	-1.4266671818231749	-1.4266696477914347	-1.4266699457648553	-1.426669990069712
1.5000000000000002	-1.5299821128573645	-1.530763952157825	-1.530795637300371	-1.5307984785300341	-1.5307988217680464	-1.5307988727893318
1.5999999999999999	-1.6343359237906632	-1.6352140122784795	-1.6352502057959892	-1.6352534503475997	-1.6352538422228657	-1.635253900458173
1.6999999999999995	-1.7390159800550966	-1.7399962707927754	-1.7400372907601955	-1.7400409669781869	-1.7400414108975482	-1.7400414768490964
1.8000000000000005	-1.8440288427473261	-1.8451173654879205	-1.845163533015389	-1.8451676695261425	-1.8451681689309316	-1.845168243105499
1.9000000000000001	-1.9493813240547972	-1.9505841843371035	-1.9506358234593137	-1.9506404491681235	-1.9506410075342957	-1.950641090443526
1.9999999999999998	-2.0550805011630024	-2.0564038790918615	-2.0564613166355126	-2.056466460722712	-2.0564670815611494	-2.0564671737212263
2.0999999999999996	-2.161133731146463	-2.1625838798149606	-2.1626474452416184	-2.1626531371573563	-2.1626538240139555	-2.1626539259457114
2.2000000000000006	-2.2675486669261273	-2.26913191042958	-2.2692019356507567	-2.2692082051086158	-2.2692089615641895	-2.2692090737934123
2.3000000000000003	-2.3743332743821783	-2.376056005368783	-2.3761328245293463	-2.376139701498257	-2.376140531168771	-2.3761406542257113
2.4	-2.4814958507204095	-2.4833645274145235	-2.4834484766405645	-2.4834559913350507	-2.4834568978714167	-2.4834570322911285
2.4999999999999996	-2.5890450441984427	-2.5910661868253806	-2.591157603931835	-2.5911657868002598	-2.5911667738883617	-2.5911669202103456
2.6000000000000005	-2.6969898753280885	-2.6991700618593075	-2.6992692860121466	-2.699278167722656	-2.6992792390828333	-2.699279397851263
2.7	-2.805339759680364	-2.8076856208072742	-2.8077929921341687	-2.8078026035579233	-2.807803762944843	-2.807803934708229
2.8	-2.914104532430827	-2.916622745663645	-2.916738604806671	-2.9167489769980275	-2.9167502282001934	-2.9167504135113376
2.900000000000001	-3.023294474794648	-3.0259917575688053	-3.0261164451714224	-3.026127609344938	-3.026128956184002	-3.026129155600077
3.0000000000000004	-3.1329203425138115	-3.1358034441714517	-3.1359373002912463	-3.1359492877943875	-3.135950734124325	-3.135950948206321
3.1	-3.2429933965713644	-3.246069089067798	-3.2462124525055502	-3.246225294787129	-3.2462268444934015	-3.2462270738064287
3.1999999999999997	-3.353525436322059	-3.3568005034878716	-3.356953711022072	-3.3569674395951443	-3.3569690965935086	-3.356969341706054
3.3000000000000007	-3.4645288352421595	-3.468010060409693	-3.468173445924056	-3.46818809230708	-3.468189860558307	-3.4681901220420874
3.4000000000000004	-3.576016579515005	-3.5797107312944734	-3.5798846247850227	-3.5799002205000456	-3.579902103960169	-3.579902382390027
3.5	-3.688002309682102	-3.691916125644739	-3.6921008520909604	-3.6921174285590608	-3.692119431224472	-3.6921197271776007
3.5999999999999996	-3.8005003656019607	-3.8046405335981683	-3.8048364116812543	-3.8048540001710753	-3.8048561260608076	-3.8048564401165397
3.7000000000000006	-3.9135258349670696	-3.9178989717765185	-3.9181063124252082	-3.918124943976347	-3.9181271971286815	-3.9181275298679137
3.8000000000000003	-4.0270946056373	-4.031707232611091	-4.031926337353845	-4.031946042687726	-4.031948427157283	-4.031948779161517
3.9	-4.141223422047586	-4.146081937366365	-4.146313096467132	-4.146333905884481	-4.146336425737884	-4.146336797577451
3.9999999999999996	-4.2559299459413245	-4.261040593074482	-4.261284083424948	-4.261306026687729	-4.261308685999002	-4.2613090782770415
4.1	-4.371232821663451	-4.376601653575237	-4.37685773631756	-4.376880842512257	-4.376883645356791	-4.376884058640757
4.199999999999999	-4.487151746216481	-4.492784584824667	-4.493053502672886	-4.493077800053419	-4.493080750502273	-4.493081185367409
4.299999999999999	-4.603707544229959	-4.609609934589922	-4.60989190881987	-4.6099174246266035	-4.6099205267381596	-4.609920983755307
4.4	-4.72092224791697	-4.7270994065751	-4.7273946336485775	-4.727421393900853	-4.727424651712166	-4.727425131445184
4.5	-4.838819181982601	-4.84527593892458	-4.845584586717203	-4.845612615973298	-4.84561603348962	-4.845616536494379
4.6	-4.957423053290916	-4.964163786913538	-4.964485990512927	-4.964515311596299	-4.964518892778992	-4.964519419600096
4.699999999999999	-5.076760044888354	-5.083788609453517	-5.084124466500114	-5.084155100184788	-5.084158848936918	-5.084159400105596
4.800000000000001	-5.196857913700809	-5.204177558792695	-5.204527124343011	-5.204559088994213	-5.204563009144268	-5.204563585174693
4.9	-5.317746090853236	-5.325359372486147	-5.325722653384629	-5.325755964549275	-5.325760059831206	-5.32576066121705
5.0	-5.439455783089663	-5.447364466299293	-5.44774141506567	-5.44777608500641	-5.447780358835377	-5.447780986247746
